Customer_Name,Customer_ID,Order_ID,Order_Date,Product_ID,Product,Category,Subsidiary_Name,Country,States,Price($),Year,Sales_Amount($),Quantity
Costco,CC-1252,ORD-1023,22/1/2014,PROD- 101,ace-mango,White,Ace Cider,USA,Texas,12.00,2014,6,000.00,500
Bwanaz,BN-1253,ORD-1024,3/1/2014,PROD- 101,ace-mango,White,Ace Cider,USA,California,12.00,2014,6,000.00,500
Walmart,WM-1250,ORD-1025,3/5/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,California,15.00,2014,18,000.00,1200
Kroger,KG-1251,ORD-1026,15/1/2014,PROD- 101,ace-mango,White,Ace Cider,USA,California,12.00,2014,7,200.00,600
Costco,CC-1252,ORD-1027,22/2/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Texas,15.00,2014,7,500.00,500
Bwanaz,BN-1253,ORD-1028,3/1/2014,PROD-111,2019 Cabernet Sauvignon California,Red,Windsor Vineyards,USA,California,14.00,2014,8,400.00,600
Costco,CC-1252,ORD-1029,22/1/2014,PROD-108,2019-cabernet-sauvignon-olive-hill-estate,Sparkling,B.R. Cohn,USA,Texas,65.00,2014,39,000.00,600
Kroger,KG-1251,ORD-1030,,PROD-109,2019-brc-sonoma-series-cabernet-sauvignon,Red,B.R. Cohn,USA,Texas,31.00,,21,700.00,700
Walmart,WM-1250,ORD-1031,3/1/2014,PROD-106,2019-silver-label-chardonnay-russian-river-valley,Dessert,B.R. Cohn,USA,Washington,19.00,2014,19,000.00,1000
Walmart,WM-1250,ORD-1032,3/2/2014,PROD- 101,ace-mango,White,Ace Cider,USA,Washington,12.00,2014,12,000.00,1000
Walmart,WM-1250,ORD-1033,3/2/2014,PROD-103,ace-berry,Red,Ace Cider,USA,Oregon,9.00,2014,7,200.00,800
Kroger,KG-1251,ORD-1034,,PROD-110,2019-brcohn-pinot-noir-silver-label-north-coast-750ml,White,B.R. Cohn,USA,Texas,21.00,,14,700.00,700
Costco,CC-1252,ORD-1035,22/1/2014,PROD-111,2019 Cabernet Sauvignon California,Red,Windsor Vineyards,USA,California,14.00,2014,8,400.00,600
Bwanaz,BN-1253,ORD-1036,3/2/2014,PROD-111,2019 Cabernet Sauvignon California,Red,Windsor Vineyards,USA,Texas,14.00,2014,8,400.00,600
Walmart,WM-1250,ORD-1037,3/6/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,California,15.00,2014,18,000.00,1200
Kroger,KG-1251,ORD-1038,,PROD-107,2018-zinfandel-moon-mountain,Red,B.R. Cohn,USA,Oregon,62.00,,37,200.00,600
Costco,CC-1252,ORD-1039,22/2/2014,PROD-102,Moscato,Red,Ace Cider,USA,California,17.00,2014,8,500.00,500
Bwanaz,BN-1253,ORD-1040,3/2/2014,PROD-102,Moscato,Red,Ace Cider,USA,Texas,17.00,2014,8,500.00,500
Walmart,WM-1250,ORD-1041,3/1/2014,PROD-113,2020 Moscato California,White,Windsor Vineyards,USA,California,12.00,2014,9,600.00,800
Kroger,KG-1251,ORD-1042,15/2/2014,PROD-103,ace-berry,Red,Ace Cider,USA,Oregon,9.00,2014,7,200.00,800
Costco,CC-1252,ORD-1043,22/3/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Texas,15.00,2014,7,500.00,500
Bwanaz,BN-1253,ORD-1044,3/3/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,California,15.00,2014,7,500.00,500
Walmart,WM-1250,ORD-1045,3/1/2014,PROD-104,kosher-cabernet-sauvignon-napa-valley-750ml,Sparkling,B.R. Cohn,USA,California,52.00,2014,46,800.00,900
Kroger,KG-1251,ORD-1046,,PROD-105,2019-brc-special-selection-cabernet-sauvignon-sonoma-valley,Red,B.R. Cohn,USA,Oregon,40.00,,28,000.00,700
Costco,CC-1252,ORD-1047,22/1/2014,PROD-106,2019-silver-label-chardonnay-russian-river-valley,Dessert,B.R. Cohn,USA,Washington,19.00,2014,13,300.00,700
Bwanaz,BN-1253,ORD-1048,3/2/2014,PROD-103,ace-berry,Red,Ace Cider,USA,California,9.00,2014,4,500.00,500
Costco,CC-1252,ORD-1049,22/1/2014,PROD-103,ace-berry,Red,Ace Cider,USA,Texas,9.00,2014,5,400.00,600
Kroger,KG-1251,ORD-1050,,PROD-105,2019-brc-special-selection-cabernet-sauvignon-sonoma-valley,Red,B.R. Cohn,USA,California,40.00,,28,000.00,700
Walmart,WM-1250,ORD-1051,3/2/2014,PROD-113,2020 Moscato California,White,Windsor Vineyards,USA,Oregon,12.00,2014,9,600.00,800
Walmart,WM-1250,ORD-1052,3/3/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Washington,15.00,2014,18,000.00,1200
Walmart,WM-1250,ORD-1053,3/3/2014,PROD-113,2020 Moscato California,White,Windsor Vineyards,USA,Oregon,12.00,2014,9,600.00,800
Kroger,KG-1251,ORD-1054,,PROD-106,2019-silver-label-chardonnay-russian-river-valley,Dessert,B.R. Cohn,USA,Texas,19.00,,11,400.00,600
Costco,CC-1252,ORD-1055,22/2/2014,PROD- 101,ace-mango,White,Ace Cider,USA,Washington,12.00,2014,6,000.00,500
Bwanaz,BN-1253,ORD-1056,3/3/2014,PROD-102,Moscato,Red,Ace Cider,USA,California,17.00,2014,8,500.00,500
Walmart,WM-1250,ORD-1057,3/8/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Oregon,15.00,2014,18,000.00,1200
Kroger,KG-1251,ORD-1058,15/3/2014,PROD-103,ace-berry,Red,Ace Cider,USA,Oregon,9.00,2014,7,200.00,800
Costco,CC-1252,ORD-1059,22/4/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Washington,15.00,2014,7,500.00,500
Bwanaz,BN-1253,ORD-1060,3/1/2014,PROD-112,2019 Fusion Red Blend California,Red,Windsor Vineyards,USA,Texas,12.00,2014,6,000.00,500
Walmart,WM-1250,ORD-1061,3/1/2014,PROD-107,2018-zinfandel-moon-mountain,Red,B.R. Cohn,USA,California,62.00,2014,49,600.00,800
Kroger,KG-1251,ORD-1062,,PROD-107,2018-zinfandel-moon-mountain,Red,B.R. Cohn,USA,California,62.00,,37,200.00,600
Costco,CC-1252,ORD-1063,22/1/2014,PROD-104,kosher-cabernet-sauvignon-napa-valley-750ml,Sparkling,B.R. Cohn,USA,California,52.00,2014,31,200.00,600
Bwanaz,BN-1253,ORD-1064,3/4/2014,PROD-102,Moscato,Red,Ace Cider,USA,Texas,17.00,2014,8,500.00,500
Walmart,WM-1250,ORD-1065,3/1/2014,PROD-102,Moscato,Red,Ace Cider,USA,Washington,17.00,2014,17,000.00,1000
Kroger,KG-1251,ORD-1066,,PROD-108,2019-cabernet-sauvignon-olive-hill-estate,Sparkling,B.R. Cohn,USA,California,65.00,,45,500.00,700
Costco,CC-1252,ORD-1067,22/5/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Texas,15.00,2014,7,500.00,500
Bwanaz,BN-1253,ORD-1068,3/4/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,California,15.00,2014,7,500.00,500
Costco,CC-1252,ORD-1069,22/6/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,California,15.00,2014,7,500.00,500
Kroger,KG-1251,ORD-1070,,PROD-109,2019-brc-sonoma-series-cabernet-sauvignon,Red,B.R. Cohn,USA,California,31.00,,21,700.00,700
Walmart,WM-1250,ORD-1071,3/2/2014,PROD-102,Moscato,Red,Ace Cider,USA,California,17.00,2014,17,000.00,1000
Walmart,WM-1250,ORD-1072,3/3/2014,PROD-103,ace-berry,Red,Ace Cider,USA,California,9.00,2014,7,200.00,800
Walmart,WM-1250,ORD-1073,3/9/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Oregon,15.00,2014,18,000.00,1200
Kroger,KG-1251,ORD-1074,15/1/2014,PROD-102,Moscato,Red,Ace Cider,USA,Texas,17.00,2014,11,900.00,700
Costco,CC-1252,ORD-1075,22/3/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Texas,15.00,2014,7,500.00,500
Bwanaz,BN-1253,ORD-1076,3/2/2014,PROD-112,2019 Fusion Red Blend California,Red,Windsor Vineyards,USA,California,12.00,2014,6,000.00,500
Walmart,WM-1250,ORD-1077,3/2/2014,PROD-106,2019-silver-label-chardonnay-russian-river-valley,Dessert,B.R. Cohn,USA,Oregon,19.00,2014,19,000.00,1000
Kroger,KG-1251,ORD-1078,,PROD-110,2019-brcohn-pinot-noir-silver-label-north-coast-750ml,White,B.R. Cohn,USA,Texas,21.00,,14,700.00,700
Costco,CC-1252,ORD-1079,22/2/2014,PROD-107,2018-zinfandel-moon-mountain,Red,B.R. Cohn,USA,Texas,62.00,2014,31,000.00,500
Bwanaz,BN-1253,ORD-1080,3/3/2014,PROD-103,ace-berry,Red,Ace Cider,USA,Texas,9.00,2014,4,500.00,500
Walmart,WM-1250,ORD-1081,3/4/2014,PROD-103,ace-berry,Red,Ace Cider,USA,California,9.00,2014,7,200.00,800
Kroger,KG-1251,ORD-1082,15/3/2014,PROD-104,kosher-cabernet-sauvignon-napa-valley-750ml,Sparkling,B.R. Cohn,USA,Oregon,52.00,2014,41,600.00,800
Costco,CC-1252,ORD-1083,22/8/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Washington,15.00,2014,7,500.00,500
Bwanaz,BN-1253,ORD-1084,3/3/2014,PROD-111,2019 Cabernet Sauvignon California,Red,Windsor Vineyards,USA,California,14.00,2014,8,400.00,600
Walmart,WM-1250,ORD-1085,3/4/2014,PROD-113,2020 Moscato California,White,Windsor Vineyards,USA,Washington,12.00,2014,9,600.00,800
Kroger,KG-1251,ORD-1086,,PROD-105,2019-brc-special-selection-cabernet-sauvignon-sonoma-valley,Red,B.R. Cohn,USA,California,40.00,,28,000.00,700
Costco,CC-1252,ORD-1087,22/2/2014,PROD-103,ace-berry,Red,Ace Cider,USA,Washington,9.00,2014,5,400.00,600
Bwanaz,BN-1253,ORD-1088,3/2/2014,PROD- 101,ace-mango,White,Ace Cider,USA,California,12.00,2014,6,000.00,500
Costco,CC-1252,ORD-1089,22/9/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Texas,15.00,2014,7,500.00,500
Kroger,KG-1251,ORD-1090,15/2/2014,PROD- 101,ace-mango,White,Ace Cider,USA,California,12.00,2014,7,200.00,600
Walmart,WM-1250,ORD-1091,3/10/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Washington,15.00,2014,18,000.00,1200
Walmart,WM-1250,ORD-1092,3/11/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Oregon,15.00,2014,18,000.00,1200
Walmart,WM-1250,ORD-1093,3/3/2014,PROD-106,2019-silver-label-chardonnay-russian-river-valley,Dessert,B.R. Cohn,USA,California,19.00,2014,19,000.00,1000
Kroger,KG-1251,ORD-1094,,PROD-105,2019-brc-special-selection-cabernet-sauvignon-sonoma-valley,Red,B.R. Cohn,USA,California,40.00,,28,000.00,700
Costco,CC-1252,ORD-1095,22/2/2014,PROD-106,2019-silver-label-chardonnay-russian-river-valley,Dessert,B.R. Cohn,USA,Texas,19.00,2014,13,300.00,700
Bwanaz,BN-1253,ORD-1096,3/4/2014,PROD-103,ace-berry,Red,Ace Cider,USA,Texas,9.00,2014,4,500.00,500
Walmart,WM-1250,ORD-1097,3/3/2014,PROD-102,Moscato,Red,Ace Cider,USA,California,17.00,2014,17,000.00,1000
Kroger,KG-1251,ORD-1098,,PROD-107,2018-zinfandel-moon-mountain,Red,B.R. Cohn,USA,Texas,62.00,,37,200.00,600
Costco,CC-1252,ORD-1099,22/10/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Texas,15.00,2014,7,500.00,500
Bwanaz,BN-1253,ORD-1100,3/5/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Texas,15.00,2014,7,500.00,500
Walmart,WM-1250,ORD-1101,3/1/2014,PROD-111,2019 Cabernet Sauvignon California,Red,Windsor Vineyards,USA,California,14.00,2014,12,600.00,900
Kroger,KG-1251,ORD-1102,,PROD-107,2018-zinfandel-moon-mountain,Red,B.R. Cohn,USA,Texas,62.00,,37,200.00,600
Costco,CC-1252,ORD-1103,22/3/2014,PROD-102,Moscato,Red,Ace Cider,USA,California,17.00,2014,8,500.00,500
Bwanaz,BN-1253,ORD-1104,3/5/2014,PROD-103,ace-berry,Red,Ace Cider,USA,Texas,9.00,2014,4,500.00,500
Walmart,WM-1250,ORD-1105,3/5/2014,PROD-113,2020 Moscato California,White,Windsor Vineyards,USA,Oregon,12.00,2014,9,600.00,800
Kroger,KG-1251,ORD-1106,15/2/2014,PROD-102,Moscato,Red,Ace Cider,USA,Oregon,17.00,2014,11,900.00,700
Costco,CC-1252,ORD-1107,22/11/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,California,15.00,2014,7,500.00,500
Bwanaz,BN-1253,ORD-1108,3/3/2014,PROD-112,2019 Fusion Red Blend California,Red,Windsor Vineyards,USA,California,12.00,2014,6,000.00,500
Costco,CC-1252,ORD-1109,22/2/2014,PROD-104,kosher-cabernet-sauvignon-napa-valley-750ml,Sparkling,B.R. Cohn,USA,Texas,52.00,2014,31,200.00,600
Kroger,KG-1251,ORD-1110,,PROD-108,2019-cabernet-sauvignon-olive-hill-estate,Sparkling,B.R. Cohn,USA,Oregon,65.00,,45,500.00,700
Walmart,WM-1250,ORD-1111,3/1/2014,PROD-109,2019-brc-sonoma-series-cabernet-sauvignon,Red,B.R. Cohn,USA,Washington,31.00,2014,21,700.00,700
Walmart,WM-1250,ORD-1112,3/4/2014,PROD-102,Moscato,Red,Ace Cider,USA,Oregon,17.00,2014,17,000.00,1000
Walmart,WM-1250,ORD-1113,3/3/2014,PROD- 101,ace-mango,White,Ace Cider,USA,Oregon,12.00,2014,12,000.00,1000
Kroger,KG-1251,ORD-1114,,PROD-106,2019-silver-label-chardonnay-russian-river-valley,Dessert,B.R. Cohn,USA,Oregon,19.00,,11,400.00,600
Costco,CC-1252,ORD-1115,22/12/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Washington,15.00,2014,7,500.00,500
Bwanaz,BN-1253,ORD-1116,3/6/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,California,15.00,2014,7,500.00,500
Walmart,WM-1250,ORD-1117,3/6/2014,PROD-113,2020 Moscato California,White,Windsor Vineyards,USA,California,12.00,2014,9,600.00,800
Kroger,KG-1251,ORD-1118,,PROD-110,2019-brcohn-pinot-noir-silver-label-north-coast-750ml,White,B.R. Cohn,USA,California,21.00,,14,700.00,700
Costco,CC-1252,ORD-1119,22/4/2014,PROD-102,Moscato,Red,Ace Cider,USA,Texas,17.00,2014,8,500.00,500
Bwanaz,BN-1253,ORD-1120,3/5/2014,PROD-102,Moscato,Red,Ace Cider,USA,Texas,17.00,2014,8,500.00,500
Walmart,WM-1250,ORD-1121,3/12/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Washington,15.00,2014,18,000.00,1200
Kroger,KG-1251,ORD-1122,15/4/2014,PROD-103,ace-berry,Red,Ace Cider,USA,Texas,9.00,2014,7,200.00,800
Costco,CC-1252,ORD-1123,22/3/2014,PROD-113,2020 Moscato California,White,Windsor Vineyards,USA,Washington,12.00,2014,8,400.00,700
Bwanaz,BN-1253,ORD-1124,3/3/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Texas,15.00,2014,7,500.00,500
Walmart,WM-1250,ORD-1125,3/2/2014,PROD-107,2018-zinfandel-moon-mountain,Red,B.R. Cohn,USA,California,62.00,2014,49,600.00,800
Kroger,KG-1251,ORD-1126,15/4/2014,PROD-104,kosher-cabernet-sauvignon-napa-valley-750ml,Sparkling,B.R. Cohn,USA,Oregon,52.00,2014,41,600.00,800
Costco,CC-1252,ORD-1127,22/1/2014,PROD-105,2019-brc-special-selection-cabernet-sauvignon-sonoma-valley,Red,B.R. Cohn,USA,Washington,40.00,2014,20,000.00,500
Bwanaz,BN-1253,ORD-1128,3/6/2014,PROD-102,Moscato,Red,Ace Cider,USA,California,17.00,2014,8,500.00,500
Costco,CC-1252,ORD-1129,22/5/2014,PROD-102,Moscato,Red,Ace Cider,USA,California,17.00,2014,8,500.00,500
Kroger,KG-1251,ORD-1130,,PROD-106,2019-silver-label-chardonnay-russian-river-valley,Dessert,B.R. Cohn,USA,California,19.00,,11,400.00,600
Walmart,WM-1250,ORD-1131,3/1/2015,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,California,15.00,2015,18,000.00,1200
Walmart,WM-1250,ORD-1132,3/1/2014,PROD-112,2019 Fusion Red Blend California,Red,Windsor Vineyards,USA,Oregon,12.00,2014,12,000.00,1000
Walmart,WM-1250,ORD-1133,3/2/2015,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Oregon,15.00,2015,18,000.00,1200
Kroger,KG-1251,ORD-1134,,PROD-105,2019-brc-special-selection-cabernet-sauvignon-sonoma-valley,Red,B.R. Cohn,USA,California,40.00,,28,000.00,700
Costco,CC-1252,ORD-1135,22/3/2014,PROD-103,ace-berry,Red,Ace Cider,USA,Texas,9.00,2014,5,400.00,600
Bwanaz,BN-1253,ORD-1136,3/3/2014,PROD-102,Moscato,Red,Ace Cider,USA,California,17.00,2014,8,500.00,500
Walmart,WM-1250,ORD-1137,3/2/2014,PROD-112,2019 Fusion Red Blend California,Red,Windsor Vineyards,USA,California,12.00,2014,12,000.00,1000
Kroger,KG-1251,ORD-1138,15/3/2014,PROD-102,Moscato,Red,Ace Cider,USA,California,17.00,2014,11,900.00,700
Costco,CC-1252,ORD-1139,22/1/2015,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,California,15.00,2015,7,500.00,500
Bwanaz,BN-1253,ORD-1140,3/8/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,California,15.00,2014,7,500.00,500
Walmart,WM-1250,ORD-1141,3/4/2014,PROD-106,2019-silver-label-chardonnay-russian-river-valley,Dessert,B.R. Cohn,USA,Washington,19.00,2014,19,000.00,1000
Kroger,KG-1251,ORD-1142,,PROD-107,2018-zinfandel-moon-mountain,Red,B.R. Cohn,USA,Texas,62.00,,37,200.00,600
Costco,CC-1252,ORD-1143,22/3/2014,PROD-107,2018-zinfandel-moon-mountain,Red,B.R. Cohn,USA,Texas,62.00,2014,31,000.00,500
Bwanaz,BN-1253,ORD-1144,3/6/2014,PROD-103,ace-berry,Red,Ace Cider,USA,Texas,9.00,2014,4,500.00,500
Walmart,WM-1250,ORD-1145,3/5/2014,PROD-103,ace-berry,Red,Ace Cider,USA,Washington,9.00,2014,7,200.00,800
Kroger,KG-1251,ORD-1146,15/5/2014,PROD-104,kosher-cabernet-sauvignon-napa-valley-750ml,Sparkling,B.R. Cohn,USA,Texas,52.00,2014,41,600.00,800
Costco,CC-1252,ORD-1147,22/2/2015,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Texas,15.00,2015,7,500.00,500
Bwanaz,BN-1253,ORD-1148,3/9/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Texas,15.00,2014,7,500.00,500
Costco,CC-1252,ORD-1149,22/3/2015,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Washington,15.00,2015,7,500.00,500
Kroger,KG-1251,ORD-1150,,PROD-108,2019-cabernet-sauvignon-olive-hill-estate,Sparkling,B.R. Cohn,USA,Oregon,65.00,,45,500.00,700
Walmart,WM-1250,ORD-1151,3/4/2014,PROD- 101,ace-mango,White,Ace Cider,USA,Oregon,12.00,2014,12,000.00,1000
Walmart,WM-1250,ORD-1152,3/5/2014,PROD-102,Moscato,Red,Ace Cider,USA,California,17.00,2014,17,000.00,1000
Walmart,WM-1250,ORD-1153,3/3/2015,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,California,15.00,2015,18,000.00,1200
Kroger,KG-1251,ORD-1154,15/5/2014,PROD-103,ace-berry,Red,Ace Cider,USA,California,9.00,2014,7,200.00,800
Costco,CC-1252,ORD-1155,22/4/2014,PROD-113,2020 Moscato California,White,Windsor Vineyards,USA,Washington,12.00,2014,8,400.00,700
Bwanaz,BN-1253,ORD-1156,3/4/2014,PROD-111,2019 Cabernet Sauvignon California,Red,Windsor Vineyards,USA,California,14.00,2014,8,400.00,600
Walmart,WM-1250,ORD-1157,3/2/2014,PROD-109,2019-brc-sonoma-series-cabernet-sauvignon,Red,B.R. Cohn,USA,California,31.00,2014,21,700.00,700
Kroger,KG-1251,ORD-1158,,PROD-106,2019-silver-label-chardonnay-russian-river-valley,Dessert,B.R. Cohn,USA,California,19.00,,11,400.00,600
Costco,CC-1252,ORD-1159,22/1/2014,PROD-110,2019-brcohn-pinot-noir-silver-label-north-coast-750ml,White,B.R. Cohn,USA,Texas,21.00,2014,12,600.00,600
Bwanaz,BN-1253,ORD-1160,3/8/2014,PROD-102,Moscato,Red,Ace Cider,USA,California,17.00,2014,8,500.00,500
Walmart,WM-1250,ORD-1161,3/6/2014,PROD-102,Moscato,Red,Ace Cider,USA,Oregon,17.00,2014,17,000.00,1000
Kroger,KG-1251,ORD-1162,,PROD-107,2018-zinfandel-moon-mountain,Red,B.R. Cohn,USA,California,62.00,,37,200.00,600
Costco,CC-1252,ORD-1163,22/4/2015,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Texas,15.00,2015,7,500.00,500
Bwanaz,BN-1253,ORD-1164,3/5/2014,PROD-111,2019 Cabernet Sauvignon California,Red,Windsor Vineyards,USA,Texas,14.00,2014,8,400.00,600
Walmart,WM-1250,ORD-1165,3/4/2015,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Washington,15.00,2015,18,000.00,1200
Kroger,KG-1251,ORD-1166,15/6/2014,PROD-104,kosher-cabernet-sauvignon-napa-valley-750ml,Sparkling,B.R. Cohn,USA,Texas,52.00,2014,41,600.00,800
Costco,CC-1252,ORD-1167,22/4/2014,PROD-103,ace-berry,Red,Ace Cider,USA,Texas,9.00,2014,5,400.00,600
Bwanaz,BN-1253,ORD-1168,3/3/2014,PROD- 101,ace-mango,White,Ace Cider,USA,California,12.00,2014,6,000.00,500
Costco,CC-1252,ORD-1169,22/5/2014,PROD-113,2020 Moscato California,White,Windsor Vineyards,USA,California,12.00,2014,8,400.00,700
Kroger,KG-1251,ORD-1170,15/6/2014,PROD-103,ace-berry,Red,Ace Cider,USA,Texas,9.00,2014,7,200.00,800
Walmart,WM-1250,ORD-1171,3/2/2014,PROD-111,2019 Cabernet Sauvignon California,Red,Windsor Vineyards,USA,Oregon,14.00,2014,12,600.00,900
Walmart,WM-1250,ORD-1172,3/5/2015,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Oregon,15.00,2015,18,000.00,1200
Walmart,WM-1250,ORD-1173,3/2/2014,PROD-105,2019-brc-special-selection-cabernet-sauvignon-sonoma-valley,Red,B.R. Cohn,USA,California,40.00,2014,40,000.00,1000
Kroger,KG-1251,ORD-1174,,PROD-106,2019-silver-label-chardonnay-russian-river-valley,Dessert,B.R. Cohn,USA,Oregon,19.00,,11,400.00,600
Costco,CC-1252,ORD-1175,22/2/2014,PROD-105,2019-brc-special-selection-cabernet-sauvignon-sonoma-valley,Red,B.R. Cohn,USA,California,40.00,2014,20,000.00,500
Bwanaz,BN-1253,ORD-1176,3/3/2014,PROD-103,ace-berry,Red,Ace Cider,USA,California,9.00,2014,4,500.00,500
